handle,label,chain,networkId,realPoints,stepsReturned,serviceCount,firstRealAt,firstRealUsd,lastRealAt,lastRealUsd,spanDays,chainLatestUsd,shareOfHoldings,chainPricedShare,chainReasonInAllChainsAnswer,status,drawable,usablePoints,drawingReason,answerRefused,pointRefusalReasons,trackedSince,basisOfRealPoints,chainsHeldByTrader,failed
shenron__1,Shenron 🐉,robinhood,4663,24,28,28,2026-08-14T00:00:00.000Z,95.20,2026-09-10T16:00:00.000Z,76.21,28,76.21,0.9708,0.7778,,warming,false,24,short_coverage,,no_prices x4,2026-09-10T16:00:00.000Z,rebuilt x23; sampled x1,3,
shenron__1,Shenron 🐉,ethereum,1,1,28,28,2026-09-10T16:00:00.000Z,2.29,2026-09-10T16:00:00.000Z,2.29,0,2.29,0.0292,0.3514,,ready,false,1,too_few_points,,no_prices x27,2026-09-10T16:00:00.000Z,sampled x1,3,
shenron__1,Shenron 🐉,bsc,56,5,28,28,2026-08-19T00:00:00.000Z,5.12,2026-09-10T16:00:00.000Z,0.00,23,0.00,0.0000,0.5,,warming,false,5,short_coverage,,(no reason given) x21; no_prices x2,2026-09-10T16:00:00.000Z,rebuilt x4; sampled x1,3,
gmgn_0x2cb0d981,,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,75.35,2026-09-10T16:00:00.000Z,75.35,0,75.35,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,3,
gmgn_0x2cb0d981,,bsc,56,2,28,28,2026-09-07T00:00:00.000Z,4506.13,2026-09-10T16:00:00.000Z,75.35,4,75.35,1.0000,1,,ready,false,2,too_few_points,,(no reason given) x26,2026-09-10T16:00:00.000Z,rebuilt x1; sampled x1,3,
gmgn_0x2cb0d981,,ethereum,1,3,28,28,2026-08-19T00:00:00.000Z,0.00,2026-09-10T16:00:00.000Z,0.00,23,0.00,0.0000,0.3333,,warming,false,3,short_coverage,,no_prices x12; (no reason given) x13,2026-09-10T16:00:00.000Z,rebuilt x2; sampled x1,3,
gmgn_0x2cb0d981,,robinhood,4663,13,28,28,2026-08-14T00:00:00.000Z,27.35,2026-09-05T00:00:00.000Z,588.18,22,,,0,no_prices,warming,false,13,short_coverage,no_prices,no_prices x15,2026-09-10T16:00:00.000Z,rebuilt x13,3,
0xfanfanfan,凡(薄肌版),(all chains),,1,28,28,2026-09-10T16:00:00.000Z,63.36,2026-09-10T16:00:00.000Z,63.36,0,63.36,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T14:00:00.000Z,sampled x1,2,
0xfanfanfan,凡(薄肌版),ethereum,1,1,28,28,2026-09-10T16:00:00.000Z,63.36,2026-09-10T16:00:00.000Z,63.36,0,63.36,1.0000,1,,ready,false,1,too_few_points,,no_prices x4; (no reason given) x23,2026-09-10T14:00:00.000Z,sampled x1,2,
0xfanfanfan,凡(薄肌版),bsc,56,8,28,28,2026-08-15T00:00:00.000Z,0.00,2026-09-10T16:00:00.000Z,0.00,27,0.00,0.0000,1,,warming,false,8,short_coverage,,(no reason given) x20,2026-09-10T14:00:00.000Z,rebuilt x7; sampled x1,2,
gmgn_0xc615a99f,,(all chains),,8,28,28,2026-08-31T00:00:00.000Z,12703.14,2026-09-10T16:00:00.000Z,59.68,11,59.68,,,,warming,false,8,short_coverage,,chains_unrebuildable x20,2026-09-10T16:00:00.000Z,rebuilt x7; sampled x1,1,
gmgn_0xc615a99f,,ethereum,1,8,28,28,2026-08-31T00:00:00.000Z,12703.14,2026-09-10T16:00:00.000Z,59.68,11,59.68,1.0000,0.25,,warming,false,8,short_coverage,,(no reason given) x7; no_prices x13,2026-09-10T16:00:00.000Z,rebuilt x7; sampled x1,1,
xlxl114,加密帅,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,57.90,2026-09-10T16:00:00.000Z,57.90,0,57.90,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,1,
xlxl114,加密帅,robinhood,4663,11,28,28,2026-08-19T00:00:00.000Z,79.04,2026-09-10T16:00:00.000Z,57.90,23,57.90,1.0000,1,,warming,false,11,short_coverage,,no_prices x17,2026-09-10T16:00:00.000Z,rebuilt x10; sampled x1,1,
definalist,Definalist,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,52.95,2026-09-10T16:00:00.000Z,52.95,0,52.95,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,2,
definalist,Definalist,ethereum,1,8,28,28,2026-08-18T00:00:00.000Z,0.00,2026-09-10T16:00:00.000Z,52.95,24,52.95,1.0000,0.5,,warming,false,8,short_coverage,,no_prices x10; (no reason given) x10,2026-09-10T16:00:00.000Z,rebuilt x7; sampled x1,2,
definalist,Definalist,base,8453,0,1,1,,,,,0,,,0,no_prices,ready,false,0,no_prices,no_prices,no_prices x1,2026-09-10T16:00:00.000Z,,2,
WuKong365,WuKong,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,52.94,2026-09-10T16:00:00.000Z,52.94,0,52.94,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,2,
WuKong365,WuKong,bsc,56,9,28,28,2026-08-17T00:00:00.000Z,161.70,2026-09-10T16:00:00.000Z,46.55,25,46.55,0.8793,1,,warming,false,9,short_coverage,,(no reason given) x14; no_prices x5,2026-09-10T16:00:00.000Z,rebuilt x8; sampled x1,2,
WuKong365,WuKong,ethereum,1,4,28,28,2026-08-24T00:00:00.000Z,2.47,2026-09-10T16:00:00.000Z,6.39,18,6.39,0.1207,1,,warming,false,4,short_coverage,,(no reason given) x24,2026-09-10T16:00:00.000Z,rebuilt x3; sampled x1,2,
Avin_lucia,Avin ☀️🌙⭐️,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,47.35,2026-09-10T16:00:00.000Z,47.35,0,47.35,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,3,
Avin_lucia,Avin ☀️🌙⭐️,robinhood,4663,9,28,28,2026-09-02T00:00:00.000Z,0.00,2026-09-10T16:00:00.000Z,47.35,9,47.35,1.0000,0.8,,warming,false,9,short_coverage,,no_prices x19,2026-09-10T16:00:00.000Z,rebuilt x8; sampled x1,3,
Avin_lucia,Avin ☀️🌙⭐️,ethereum,1,1,28,28,2026-09-10T16:00:00.000Z,0.00,2026-09-10T16:00:00.000Z,0.00,0,0.00,0.0000,1,,ready,false,1,too_few_points,,(no reason given) x23; no_prices x4,2026-09-10T16:00:00.000Z,sampled x1,3,
Avin_lucia,Avin ☀️🌙⭐️,bsc,56,1,28,28,2026-09-04T00:00:00.000Z,0.00,2026-09-04T00:00:00.000Z,0.00,0,,,0,no_prices,ready,false,1,no_prices,no_prices,(no reason given) x22; no_prices x5,2026-09-10T16:00:00.000Z,rebuilt x1,3,
gmgn_0x00b7a082,,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,45.83,2026-09-10T16:00:00.000Z,45.83,0,45.83,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,1,
gmgn_0x00b7a082,,bsc,56,3,28,28,2026-08-27T00:00:00.000Z,37.36,2026-09-10T16:00:00.000Z,45.83,15,45.83,1.0000,1,,warming,false,3,short_coverage,,(no reason given) x25,2026-09-10T16:00:00.000Z,rebuilt x2; sampled x1,1,
JeetRex,Jeet,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,45.35,2026-09-10T16:00:00.000Z,45.35,0,45.35,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,2,
JeetRex,Jeet,robinhood,4663,28,28,28,2026-08-14T00:00:00.000Z,29.32,2026-09-10T16:00:00.000Z,45.35,28,45.35,1.0000,0.3333,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,2,
JeetRex,Jeet,ethereum,1,0,28,28,,,,,0,,,0,no_prices,ready,false,0,no_prices,no_prices,(no reason given) x20; no_prices x8,2026-09-10T16:00:00.000Z,,2,
gmgn_0x08b91ebe,,(all chains),,5,28,28,2026-08-25T00:00:00.000Z,20.20,2026-09-10T16:00:00.000Z,34.15,17,34.15,,,,warming,false,5,short_coverage,,chains_unrebuildable x23,2026-09-10T16:00:00.000Z,rebuilt x4; sampled x1,2,
gmgn_0x08b91ebe,,bsc,56,10,28,28,2026-08-19T00:00:00.000Z,922.99,2026-09-10T16:00:00.000Z,26.48,23,26.48,0.7754,1,,warming,false,10,short_coverage,,(no reason given) x18,2026-09-10T16:00:00.000Z,rebuilt x9; sampled x1,2,
